A28102_at	GABRA3
J04029_s_at	KRT10
J04031_at	MTHFD1
J04040_at	GCG
J04046_s_at	CALM3
J04056_at	CBR1
J04076_at	EGR2
J04080_at	C1S
J04088_at	TOP2A
J04130_s_at	CCL4
J04162_at	FCGR3B
J04164_at	IFITM1
J04173_at	No result found
J04177_at	COL11A1
J04182_at	LAMP1
J04430_s_at	ACP5
J04444_at	CYC1
J04456_at	LGALS1
J04513_at	FGF2
J04543_at	ANXA7
J04599_at	BGN
J04611_at	XRCC6
J04615_at	SNRPN
J04760_at	TNNI1
J04794_at	AKR1A1
J04809_rna1_at	AK1
J04823_rna1_at	COX8A
J04970_at	CPM
J04973_at	UQCRC2
J04982_at	SLC25A4
J04988_at	HSP90AB1
J05032_at	DARS
J05070_at	MMP9
J05243_at	SPTAN1
J05249_at	RPA2
J05401_at	CKMT2
J05448_at	POLR2C
J05582_s_at	MUC1
J05614_at	PCNA
J05633_at	ITGB5
K01160_s_at	HLA-DQA1
K01396_at	SERPINA1
K01900_at	IFNA8
K02405_f_at	HLA-DQB1
K02574_at	NP
K02765_at	C3
K02766_at	C9
K02777_s_at	TRD@
K02882_cds1_s_at	IGHD
K03430_at	C1QB
K03460_at	TUBA3C
K03515_at	GPI
L00022_s_at	No result found
L00058_at	No result found
L00137_cds1_at	GHRH
L00354_at	CCK
L00389_f_at	CYP1A2
L00634_s_at	FNTA
L00972_at	CBS
L02326_f_at	LOC91316
L02426_at	PSMC1
L02648_at	TCN2
L03411_s_at	RDBP
L03532_at	HNRNPM
L04282_at	ZNF148
L04483_s_at	RPS21
L04490_at	NDUFA9
L04510_at	TRIM23
L04947_at	KDR
L05072_s_at	IRF1
L05424_cds2_at	CD44
L05425_at	GNL2
L05512_at	HTN1
L05624_s_at	MAP2K1
L06132_at	VDAC1
L06175_at	HCP5
L06505_at	RPL12
L06797_s_at	CXCR4
L06845_at	CARS
L06895_at	MXD1
L07033_at	HMGCL
L07493_at	RPA3
L07515_at	CBX5
L07541_at	RFC3
L07597_at	RPS6KA1
L07633_at	PSME1
L07758_at	PWP1
L07765_at	CES1
L08069_at	DNAJA1
L08096_s_at	CD70
L08187_at	EBI3
L08246_at	LOC100131311
L08666_at	VDAC2
L08895_at	No result found
L08904_at	No result found
L09190_rna1_at	TCHH
L09209_s_at	APLP2
L09229_s_at	ACSL1
L09235_at	ATP6V1A
L09260_at	SEC13
L09604_at	PLP2
L09708_at	C2
L10284_at	No result found
L10343_at	PI3
L10413_at	FNTA
L10678_at	PFN2
L10717_at	ITK
L10838_at	SFRS3
L10910_at	RBM39
L11005_at	AOX1
L11066_at	HSPA9
L11284_at	MAP2K1
L11329_at	DUSP2
L11373_at	PCDHGC3
L11566_at	RPL18
L11669_at	MFSD10
L11672_at	ZNF91
L11672_r_at	ZNF91
L12168_at	CAP1
L12350_at	THBS2
L12711_s_at	TKT
L12723_at	HSPA4
L13210_at	LGALS3BP
L13278_at	CRYZ
L13286_at	CYP24A1
L13391_at	RGS2
L13689_at	BMI1
L13698_at	GAS1
L13761_rna1_at	DLD
L13800_at	TUBGCP3
L13852_at	UBA7
L13923_at	FBN1
L13939_s_at	AP1B1
L13977_at	PRCP
L14076_at	SFRS4
L14778_s_at	PPP3CA
L14812_at	RBL1
L14837_at	No result found
L15189_s_at	HSPA9
L15388_at	GRK5
L15702_at	CFB
L16842_at	UQCRC1
L16991_at	DTYMK
L17075_s_at	ACVRL1
L17131_rna1_at	HMGA1
L18960_at	EIF1AP1
L19058_at	GRIK1
L19067_at	RELA
L19161_at	EIF2S3
L19183_at	TMEM97
L19314_at	HES1
L19437_at	TALDO1
L19605_at	ANXA11
L19686_rna1_at	MIF
L19779_at	HIST2H2AA3
L19872_at	AHR
L20010_at	HCFC1
L20298_at	CBFB
L20591_at	ANXA3
L20688_at	ARHGDIB
L20773_at	ARMCX6
L20859_at	SLC20A1
L20941_at	FTH1
L20971_at	PDE4B
L21715_at	TNNI2
L21936_at	SDHA
L22009_at	HNRNPH1
L22342_at	SP110
L22343_at	SP110
